date,total_count,proportion,ci_lower,ci_upper
2019-12-23,1,0,0,0
2019-12-26,2,0,0,0
2019-12-30,13,0,0,0
2019-12-31,1,0,0,0
2020-01-01,3,0,0,0
2020-01-02,2,0,0,0
2020-01-03,1,0,0,0
2020-01-04,1,0,0,0
2020-01-05,2,0,0,0
2020-01-07,1,0,0,0
2020-01-08,2,0,0,0
2020-01-10,14,0,0,0
2020-01-11,1,0,0,0
2020-01-12,25,0,0,0
2020-01-13,1,0,0,0
2020-01-14,11,0,0,0
2020-01-15,19,0,0,0
2020-01-16,9,0,0,0
2020-01-17,2,0,0,0
2020-01-19,23,0,0,0
2020-01-20,5,0,0,0
2020-01-21,8,0,0,0
2020-01-22,25,0,0,0
2020-01-23,13,0,0,0
2020-01-24,9,0,0,0
2020-01-25,25,0,0,0
2020-01-26,16,0,0,0
2020-01-27,20,0,0,0
2020-01-28,11,0,0,0
2020-01-29,46,0,0,0
2020-01-30,22,0,0,0
2020-01-31,16,0,0,0
2020-02-01,18,0,0,0
2020-02-02,18,0,0,0
2020-02-03,21,0,0,0
2020-02-04,10,0,0,0
2020-02-05,16,0,0,0
2020-02-06,32,0,0,0
2020-02-07,30,0,0,0
2020-02-08,27,0,0,0
2020-02-09,25,0,0,0
2020-02-10,22,0,0,0
2020-02-11,25,0,0,0
2020-02-12,11,0,0,0
2020-02-13,15,0,0,0
2020-02-14,10,0,0,0
2020-02-15,40,0,0,0
2020-02-16,36,0,0,0
2020-02-17,47,0,0,0
2020-02-18,23,0,0,0
2020-02-19,16,0,0,0
2020-02-20,11,0,0,0
2020-02-21,17,0,0,0
2020-02-22,13,0,0,0
2020-02-23,12,0,0,0
2020-02-24,31,0,0,0
2020-02-25,36,0,0,0
2020-02-26,29,0,0,0
2020-02-27,63,0,0,0
2020-02-28,67,0,0,0
2020-02-29,80,0,0,0
2020-03-01,145,0,0,0
2020-03-02,202,0,0,0
2020-03-03,218,0,0,0
2020-03-04,230,0,0,0
2020-03-05,242,0,0,0
2020-03-06,197,0,0,0
2020-03-07,172,0,0,0
2020-03-08,190,0,0,0
2020-03-09,338,0,0,0
2020-03-10,399,0,0,0
2020-03-11,514,0,0,0
2020-03-12,707,0,0,0
2020-03-13,802,0,0,0
2020-03-14,831,0,0,0
2020-03-15,982,0,0,0
2020-03-16,1234,0,0,0
2020-03-17,1175,0,0,0
2020-03-18,1159,0,0,0
2020-03-19,1147,0,0,0
2020-03-20,1126,0,0,0
2020-03-21,977,0,0,0
2020-03-22,852,0,0,0
2020-03-23,1665,0.0012012012012012011,0.0003259432556881492,0.004322744564199622
2020-03-24,1775,0,0,0
2020-03-25,1642,0,0,0
2020-03-26,1684,0.0005938242280285036,0.00010311492711877254,0.003301395139544724
2020-03-27,1687,0,0,0
2020-03-28,1366,0,0,0
2020-03-29,1261,0.0007930214115781126,0.00013846048861436102,0.004429423446346779
2020-03-30,1797,0.0005564830272676684,9.620267089122248e-05,0.0030805799296329335
2020-03-31,1877,0.0010655301012253596,0.00028525729832213004,0.0037844077950617786
2020-04-01,1902,0,0,0
2020-04-02,1582,0,0,0
2020-04-03,1686,0,0,0
2020-04-04,1249,0,0,0
2020-04-05,994,0.001006036217303823,0.00017548876631888374,0.005609180829388006
2020-04-06,1727,0.0005790387955993051,0.00010081808761152537,0.003228029370757366
2020-04-07,1461,0.0006844626967830253,0.00011832080042554035,0.0037869055283515176
2020-04-08,1521,0,0,0
2020-04-09,1156,0,0,0
2020-04-10,1246,0,0,0
2020-04-11,1026,0,0,0
2020-04-12,861,0,0,0
2020-04-13,1341,0.0007457121551081282,0.00012904675415087671,0.004129170812658585
2020-04-14,1238,0,0,0
2020-04-15,1186,0,0,0
2020-04-16,1139,0,0,0
2020-04-17,1020,0,0,0
2020-04-18,766,0,0,0
2020-04-19,661,0,0,0
2020-04-20,1126,0,0,0
2020-04-21,1089,0,0,0
2020-04-22,1105,0,0,0
2020-04-23,941,0.0010626992561105207,0.0001821904304755492,0.0058224870010816525
2020-04-24,925,0,0,0
2020-04-25,558,0,0,0
2020-04-26,481,0,0,0
2020-04-27,1049,0,0,0
2020-04-28,899,0,0,0
2020-04-29,1118,0,0,0
2020-04-30,1126,0,0,0
2020-05-01,1029,0,0,0
2020-05-02,601,0,0,0
2020-05-03,502,0,0,0
2020-05-04,1002,0,0,0
2020-05-05,958,0,0,0
2020-05-06,809,0.0012360939431396785,0.00021117955717245317,0.006744417784040462
2020-05-07,744,0.0013440860215053765,0.000232607059345355,0.0074250770522710004
2020-05-08,685,0,0,0
2020-05-09,515,0,0,0
2020-05-10,457,0,0,0
2020-05-11,801,0.0012484394506866417,0.0002160914526990556,0.006900506926330467
2020-05-12,782,0.0012787723785166241,0.0002204085523184587,0.007037665583014506
2020-05-13,773,0,0,0
2020-05-14,797,0,0,0
2020-05-15,533,0,0,0
2020-05-16,300,0,0,0
2020-05-17,253,0,0,0
2020-05-18,557,0,0,0
2020-05-19,676,0,0,0
2020-05-20,507,0,0,0
2020-05-21,485,0,0,0
2020-05-22,597,0.0016750418760469012,0.0002793584436381069,0.008907835348023212
2020-05-23,281,0,0,0
2020-05-24,276,0.0036231884057971015,0.0006284615546677831,0.01987977881471646
2020-05-25,310,0,0,0
2020-05-26,542,0,0,0
2020-05-27,544,0.003676470588235294,0.0009977682574326171,0.01316079260184556
2020-05-28,356,0,0,0
2020-05-29,387,0,0,0
2020-05-30,279,0.0035842293906810036,0.0006174697118209315,0.01953698706733016
2020-05-31,217,0.004608294930875576,0.000813919974220228,0.025637618141786903
2020-06-01,533,0.001876172607879925,0.00032817949988412433,0.01045283103898923
2020-06-02,603,0,0,0
2020-06-03,409,0.004889975550122249,0.0013354700434012547,0.01756716652920863
2020-06-04,454,0,0,0
2020-06-05,410,0.0024390243902439024,0.0004224215813294691,0.013425430313789457
2020-06-06,225,0,0,0
2020-06-07,356,0.0056179775280898875,0.0015333522724492324,0.020138008897742362
2020-06-08,623,0.0016051364365971107,0.00028113814705924185,0.008964217017906154
2020-06-09,537,0.00558659217877095,0.0018668943314681839,0.015999584888692384
2020-06-10,601,0,0,0
2020-06-11,756,0,0,0
2020-06-12,688,0,0,0
2020-06-13,645,0,0,0
2020-06-14,566,0,0,0
2020-06-15,854,0,0,0
2020-06-16,764,0,0,0
2020-06-17,672,0.001488095238095238,0.0002627269058399958,0.008380718540548626
2020-06-18,726,0,0,0
2020-06-19,747,0,0,0
2020-06-20,423,0,0,0
2020-06-21,484,0,0,0
2020-06-22,572,0,0,0
2020-06-23,623,0,0,0
2020-06-24,707,0,0,0
2020-06-25,574,0,0,0
2020-06-26,473,0,0,0
2020-06-27,377,0,0,0
2020-06-28,280,0,0,0
2020-06-29,599,0,0,0
2020-06-30,586,0,0,0
2020-07-01,630,0,0,0
2020-07-02,754,0.002652519893899204,0.0007238613260497332,0.009569091959777662
2020-07-03,520,0,0,0
2020-07-04,327,0,0,0
2020-07-05,297,0.003367003367003367,0.0005945909373711849,0.01882293642586581
2020-07-06,676,0,0,0
2020-07-07,739,0.0013531799729364006,0.00023825837585531693,0.0076044829533078225
2020-07-08,838,0,0,0
2020-07-09,760,0.0013157894736842105,0.00023199564057308197,0.007405664235667959
2020-07-10,602,0,0,0
2020-07-11,417,0,0,0
2020-07-12,338,0,0,0
2020-07-13,731,0.0013679890560875513,0.00024020366930016933,0.007666227154302616
2020-07-14,744,0,0,0
2020-07-15,941,0,0,0
2020-07-16,716,0.008379888268156424,0.0038193127570001007,0.018035944998625403
2020-07-17,705,0.0014184397163120568,0.0002493655781112763,0.00795695447960943
2020-07-18,585,0,0,0
2020-07-19,439,0,0,0
2020-07-20,691,0,0,0
2020-07-21,793,0.0025220680958385876,0.0006910284881226978,0.009137488851660037
2020-07-22,649,0,0,0
2020-07-23,827,0,0,0
2020-07-24,673,0.0029717682020802376,0.0008117076233362881,0.010722743931261134
2020-07-25,471,0,0,0
2020-07-26,324,0,0,0
2020-07-27,832,0.002403846153846154,0.0006539511649629105,0.0086498136231064
2020-07-28,686,0.0029154518950437317,0.0007963854312624103,0.010521641661798975
2020-07-29,691,0,0,0
2020-07-30,624,0.0016025641025641025,0.0002806910987238936,0.008950054794087196
2020-07-31,583,0.0017152658662092624,0.00030129223117178656,0.009602383603153904
2020-08-01,539,0,0,0
2020-08-02,444,0,0,0
2020-08-03,913,0,0,0
2020-08-04,756,0.0013227513227513227,0.0002301805190878874,0.00734803010161551
2020-08-05,602,0.0016611295681063123,0.0002908664889626838,0.009272332874014558
2020-08-06,714,0,0,0
2020-08-07,583,0.003430531732418525,0.0009300870738511577,0.012274781025655511
2020-08-08,405,0,0,0
2020-08-09,450,0,0,0
2020-08-10,809,0,0,0
2020-08-11,770,0.0025974025974025974,0.0007125757877161099,0.009420764161958346
2020-08-12,693,0,0,0
2020-08-13,792,0,0,0
2020-08-14,715,0,0,0
2020-08-15,413,0.002421307506053269,0.00042343488313457544,0.013457322152291578
2020-08-16,368,0,0,0
2020-08-17,868,0,0,0
2020-08-18,797,0,0,0
2020-08-19,778,0,0,0
2020-08-20,950,0,0,0
2020-08-21,772,0.0012953367875647669,0.00022751047441177315,0.007263241493680207
2020-08-22,363,0.0027548209366391185,0.00048510981125034447,0.015395638858829386
2020-08-23,359,0,0,0
2020-08-24,688,0.007267441860465116,0.0030767067929808813,0.01672978440616926
2020-08-25,739,0,0,0
2020-08-26,993,0.0010070493454179255,0.0001768956641134811,0.005653966220639558
2020-08-27,919,0.004352557127312296,0.0016774200716469358,0.011030319097756962
2020-08-28,759,0,0,0
2020-08-29,540,0,0,0
2020-08-30,652,0,0,0
2020-08-31,1046,0.0019120458891013384,0.0005224989841507032,0.006918467476083927
2020-09-01,955,0.0010471204188481676,0.00018409047126761842,0.005882951085723688
2020-09-02,774,0.002583979328165375,0.0007052455843987655,0.009324407480876859
2020-09-03,968,0.002066115702479339,0.0005650228900928923,0.007478950612884412
2020-09-04,821,0.001218026796589525,0.00021373659300065375,0.006825679121998448
2020-09-05,441,0,0,0
2020-09-06,321,0,0,0
2020-09-07,896,0.0011160714285714285,0.0001961602817749062,0.006266919089654778
2020-09-08,844,0.001184834123222749,0.00020868298019739652,0.006665068551852811
2020-09-09,1387,0.0014419610670511895,0.000394097557078276,0.005223731858523036
2020-09-10,1677,0.0005963029218843172,0.00010520441801294863,0.0033681310019219603
2020-09-11,902,0,0,0
2020-09-12,390,0,0,0
2020-09-13,367,0.005449591280653951,0.0014755968760074394,0.01938851183361917
2020-09-14,851,0.0011750881316098707,0.00020672782155959282,0.006602920952759582
2020-09-15,842,0,0,0
2020-09-16,2042,0.0004897159647404506,8.607052612375803e-05,0.002756776338568878
2020-09-17,991,0,0,0
2020-09-18,1272,0.0031446540880503146,0.0012196959793327618,0.008032699004546492
2020-09-19,806,0.004962779156327543,0.0019172540460533805,0.012597328196381916
2020-09-20,690,0.0014492753623188406,0.000254030799866413,0.008104944968032924
2020-09-21,1484,0.0013477088948787063,0.0003652295453872637,0.004842223881321097
2020-09-22,1052,0,0,0
2020-09-23,1359,0,0,0
2020-09-24,2640,0.0022727272727272726,0.0010376751109475873,0.0049293852213901325
2020-09-25,1149,0.0026109660574412533,0.0008814294702231025,0.00758926051023551
2020-09-26,503,0,0,0
2020-09-27,1080,0,0,0
2020-09-28,826,0,0,0
2020-09-29,1280,0,0,0
