date,total_count,proportion,ci_lower,ci_upper
2019-12-23,1,0,0,0
2019-12-26,2,0,0,0
2019-12-30,13,0,0,0
2019-12-31,1,0,0,0
2020-01-01,3,0,0,0
2020-01-02,2,0,0,0
2020-01-03,1,0,0,0
2020-01-04,1,0,0,0
2020-01-05,1,0,0,0
2020-01-07,1,0,0,0
2020-01-08,2,0,0,0
2020-01-10,14,0,0,0
2020-01-11,1,0,0,0
2020-01-12,2,0,0,0
2020-01-13,1,0,0,0
2020-01-14,2,0,0,0
2020-01-15,0,0,0,0
2020-01-16,9,0,0,0
2020-01-17,2,0,0,0
2020-01-19,9,0,0,0
2020-01-20,5,0,0,0
2020-01-21,8,0,0,0
2020-01-22,25,0,0,0
2020-01-23,13,0,0,0
2020-01-24,9,0,0,0
2020-01-25,25,0,0,0
2020-01-26,16,0,0,0
2020-01-27,19,0,0,0
2020-01-28,11,0,0,0
2020-01-29,45,0,0,0
2020-01-30,22,0,0,0
2020-01-31,16,0,0,0
2020-02-01,18,0,0,0
2020-02-02,18,0,0,0
2020-02-03,23,0,0,0
2020-02-04,10,0,0,0
2020-02-05,16,0,0,0
2020-02-06,32,0,0,0
2020-02-07,29,0,0,0
2020-02-08,27,0,0,0
2020-02-09,25,0,0,0
2020-02-10,22,0,0,0
2020-02-11,25,0,0,0
2020-02-12,12,0,0,0
2020-02-13,15,0,0,0
2020-02-14,10,0,0,0
2020-02-15,39,0,0,0
2020-02-16,36,0,0,0
2020-02-17,47,0,0,0
2020-02-18,23,0,0,0
2020-02-19,16,0,0,0
2020-02-20,11,0,0,0
2020-02-21,16,0,0,0
2020-02-22,13,0,0,0
2020-02-23,12,0,0,0
2020-02-24,31,0,0,0
2020-02-25,35,0,0,0
2020-02-26,29,0,0,0
2020-02-27,62,0,0,0
2020-02-28,69,0,0,0
2020-02-29,83,0,0,0
2020-03-01,149,0,0,0
2020-03-02,204,0,0,0
2020-03-03,225,0,0,0
2020-03-04,233,0,0,0
2020-03-05,242,0,0,0
2020-03-06,206,0,0,0
2020-03-07,176,0,0,0
2020-03-08,209,0,0,0
2020-03-09,377,0,0,0
2020-03-10,422,0,0,0
2020-03-11,523,0,0,0
2020-03-12,718,0,0,0
2020-03-13,812,0,0,0
2020-03-14,835,0,0,0
2020-03-15,978,0,0,0
2020-03-16,1232,0,0,0
2020-03-17,1165,0,0,0
2020-03-18,1163,0,0,0
2020-03-19,1144,0,0,0
2020-03-20,1114,0,0,0
2020-03-21,974,0,0,0
2020-03-22,854,0,0,0
2020-03-23,1655,0,0,0
2020-03-24,1780,0,0,0
2020-03-25,1643,0,0,0
2020-03-26,1678,0,0,0
2020-03-27,1687,0,0,0
2020-03-28,1354,0,0,0
2020-03-29,1251,0,0,0
2020-03-30,1803,0,0,0
2020-03-31,1876,0,0,0
2020-04-01,1872,0,0,0
2020-04-02,1546,0,0,0
2020-04-03,1643,0,0,0
2020-04-04,1242,0,0,0
2020-04-05,986,0.0010141987829614604,0.00017548876631888374,0.005609180829388006
2020-04-06,1705,0,0,0
2020-04-07,1454,0.001375515818431912,0.00036767797746742515,0.0048745883159689914
2020-04-08,1516,0,0,0
2020-04-09,1139,0,0,0
2020-04-10,1240,0,0,0
2020-04-11,1014,0,0,0
2020-04-12,845,0,0,0
2020-04-13,1323,0,0,0
2020-04-14,1232,0,0,0
2020-04-15,1161,0,0,0
2020-04-16,1140,0,0,0
2020-04-17,1002,0,0,0
2020-04-18,771,0,0,0
2020-04-19,657,0,0,0
2020-04-20,1114,0,0,0
2020-04-21,1083,0,0,0
2020-04-22,1102,0,0,0
2020-04-23,942,0.0010615711252653928,0.0001821904304755492,0.0058224870010816525
2020-04-24,912,0,0,0
2020-04-25,558,0,0,0
2020-04-26,472,0,0,0
2020-04-27,1049,0,0,0
2020-04-28,886,0,0,0
2020-04-29,1105,0,0,0
2020-04-30,1105,0,0,0
2020-05-01,1005,0.0009950248756218905,0.00017024209307715972,0.005442139272156512
2020-05-02,604,0,0,0
2020-05-03,504,0,0,0
2020-05-04,1000,0,0,0
2020-05-05,957,0,0,0
2020-05-06,798,0,0,0
2020-05-07,739,0,0,0
2020-05-08,653,0,0,0
2020-05-09,496,0,0,0
2020-05-10,449,0,0,0
2020-05-11,789,0,0,0
2020-05-12,769,0,0,0
2020-05-13,762,0,0,0
2020-05-14,770,0,0,0
2020-05-15,516,0,0,0
2020-05-16,292,0,0,0
2020-05-17,245,0,0,0
2020-05-18,568,0,0,0
2020-05-19,668,0,0,0
2020-05-20,499,0,0,0
2020-05-21,478,0,0,0
2020-05-22,611,0,0,0
2020-05-23,277,0,0,0
2020-05-24,271,0,0,0
2020-05-25,299,0,0,0
2020-05-26,538,0,0,0
2020-05-27,536,0,0,0
2020-05-28,340,0,0,0
2020-05-29,368,0,0,0
2020-05-30,280,0,0,0
2020-05-31,213,0,0,0
2020-06-01,502,0,0,0
2020-06-02,594,0,0,0
2020-06-03,401,0,0,0
2020-06-04,447,0,0,0
2020-06-05,397,0,0,0
2020-06-06,224,0,0,0
2020-06-07,356,0,0,0
2020-06-08,622,0,0,0
2020-06-09,531,0,0,0
2020-06-10,587,0,0,0
2020-06-11,748,0,0,0
2020-06-12,677,0,0,0
2020-06-13,641,0,0,0
2020-06-14,565,0,0,0
2020-06-15,848,0,0,0
2020-06-16,760,0,0,0
2020-06-17,668,0,0,0
2020-06-18,715,0,0,0
2020-06-19,733,0,0,0
2020-06-20,418,0,0,0
2020-06-21,476,0.0021008403361344537,0.00036405155710921765,0.011585831595224791
2020-06-22,561,0,0,0
2020-06-23,615,0,0,0
2020-06-24,704,0.002840909090909091,0.0007728199907388277,0.010212250086432355
2020-06-25,568,0.0017605633802816902,0.00030652412180214744,0.009767951390130767
2020-06-26,465,0,0,0
2020-06-27,371,0,0,0
2020-06-28,279,0,0,0
2020-06-29,595,0,0,0
2020-06-30,574,0,0,0
2020-07-01,625,0,0,0
2020-07-02,747,0.002677376171352075,0.0007238613260497332,0.009569091959777662
2020-07-03,519,0,0,0
2020-07-04,324,0,0,0
2020-07-05,296,0,0,0
2020-07-06,659,0,0,0
2020-07-07,726,0,0,0
2020-07-08,816,0,0,0
2020-07-09,752,0,0,0
2020-07-10,557,0,0,0
2020-07-11,363,0,0,0
2020-07-12,314,0,0,0
2020-07-13,706,0,0,0
2020-07-14,724,0,0,0
2020-07-15,917,0,0,0
2020-07-16,707,0,0,0
2020-07-17,693,0,0,0
2020-07-18,574,0,0,0
2020-07-19,435,0,0,0
2020-07-20,671,0,0,0
2020-07-21,769,0,0,0
2020-07-22,636,0,0,0
2020-07-23,814,0,0,0
2020-07-24,666,0,0,0
2020-07-25,460,0,0,0
2020-07-26,321,0,0,0
2020-07-27,813,0,0,0
2020-07-28,678,0,0,0
2020-07-29,679,0,0,0
2020-07-30,610,0,0,0
2020-07-31,567,0,0,0
2020-08-01,521,0,0,0
2020-08-02,435,0,0,0
2020-08-03,902,0,0,0
2020-08-04,741,0,0,0
2020-08-05,592,0,0,0
2020-08-06,705,0,0,0
2020-08-07,569,0,0,0
2020-08-08,394,0,0,0
2020-08-09,442,0,0,0
2020-08-10,797,0,0,0
2020-08-11,758,0,0,0
2020-08-12,683,0,0,0
2020-08-13,776,0,0,0
2020-08-14,711,0,0,0
2020-08-15,406,0,0,0
2020-08-16,362,0,0,0
2020-08-17,856,0,0,0
2020-08-18,778,0.0012853470437017994,0.00022013368632942164,0.007028933624169316
2020-08-19,755,0,0,0
2020-08-20,926,0,0,0
2020-08-21,765,0.00261437908496732,0.0007070639603068734,0.009348311387712518
2020-08-22,355,0,0,0
2020-08-23,352,0.002840909090909091,0.000487790891655586,0.01547977539932936
2020-08-24,678,0.004424778761061947,0.001469051718895012,0.012613681764629722
2020-08-25,722,0.006925207756232687,0.002885488275679968,0.015697791712978023
2020-08-26,974,0,0,0
2020-08-27,904,0.0011061946902654867,0.0001902408642681825,0.006078635734501393
2020-08-28,742,0.0013477088948787063,0.00023138742766106658,0.007386352663643317
2020-08-29,534,0,0,0
2020-08-30,649,0.0015408320493066256,0.0002703727806232217,0.008623095598967841
2020-08-31,1029,0,0,0
2020-09-01,931,0,0,0
2020-09-02,760,0.002631578947368421,0.0007052455843987655,0.009324407480876859
2020-09-03,943,0,0,0
2020-09-04,809,0.002472187886279357,0.0006642472716852188,0.008785266948860003
2020-09-05,439,0.002277904328018223,0.0004003843461341784,0.012731481018975558
2020-09-06,311,0.006430868167202572,0.0017102663246246375,0.02242949902562607
2020-09-07,892,0,0,0
2020-09-08,828,0.0012077294685990338,0.00020868298019739652,0.006665068551852811
2020-09-09,1384,0.001445086705202312,0.000394097557078276,0.005223731858523036
2020-09-10,1664,0,0,0
2020-09-11,888,0,0,0
2020-09-12,378,0.0026455026455026454,0.00044816092164576244,0.014235069791281193
2020-09-13,357,0,0,0
2020-09-14,832,0.001201923076923077,0.00020672782155959282,0.006602920952759582
2020-09-15,826,0.007263922518159807,0.003250462236034094,0.015368279489805358
2020-09-16,1964,0.0025458248472505093,0.0010417177631437467,0.005694373232872686
2020-09-17,967,0.001034126163391934,0.00017814533524065202,0.005693744219840278
2020-09-18,1260,0.0015873015873015873,0.0004299333854792159,0.005697074831787671
2020-09-19,798,0.002506265664160401,0.0006757042221650975,0.00893596549411316
2020-09-20,689,0.001451378809869376,0.000254030799866413,0.008104944968032924
2020-09-21,1485,0.00202020202020202,0.0006794898671282208,0.00585612450293567
2020-09-22,1042,0.0019193857965451055,0.0005165933025464628,0.006840597484527339
2020-09-23,1341,0.0022371364653243847,0.0007471653065380951,0.006437315001258077
2020-09-24,2604,0.001152073732718894,0.00038492859303796545,0.003322109898448683
2020-09-25,1134,0.0008818342151675485,0.00015245151291653952,0.004875428363307553
2020-09-26,494,0.020242914979757085,0.010812285314188565,0.03613463671819318
2020-09-27,1070,0.004672897196261682,0.0019699170845017223,0.010742308458681052
2020-09-28,813,0.01968019680196802,0.011899937730030832,0.03108376564960386
2020-09-29,1246,0.03210272873194221,0.022782074536052608,0.04181872112344852
2020-09-30,1107,0.01084010840108401,0.005968638616992505,0.018119091051155792
2020-10-01,2125,0.0018823529411764706,0.0007196991240831108,0.004747736721640788
2020-10-02,1420,0.01056338028169014,0.0062146072937130726,0.01682504517800341
2020-10-03,1244,0.0008038585209003215,0.00013674431518629935,0.004374695539696337
2020-10-04,677,0.0014771048744460858,0.000254030799866413,0.008104944968032924
2020-10-05,2263,0.003977021652673442,0.002056443755884478,0.007407637314497476
2020-10-06,1988,0.004527162977867203,0.0023539417080001763,0.008475664345345807
2020-10-07,2009,0.004977600796416127,0.002672679115409198,0.009026758171571298
2020-10-08,1861,0.013433637829124127,0.008881337783682188,0.019251397966235675
2020-10-09,1576,0.01015228426395939,0.006103508028260409,0.016023099906737684
2020-10-10,829,0.007237635705669481,0.0032736805028960427,0.015477290093248842
2020-10-11,999,0,0,0
2020-10-12,2132,0.00375234521575985,0.001865790468406771,0.007244881308640741
2020-10-13,1575,0.0044444444444444444,0.0020515351040900744,0.00871040982478612
2020-10-14,1939,0.02372356884992264,0.01746262864910699,0.030848486512506726
2020-10-15,2520,0.007142857142857143,0.004447007770289395,0.011074635637702748
2020-10-16,1505,0.012624584717607974,0.00786137611089537,0.0190664651825801
2020-10-17,1231,0.0008123476848090983,0.0001411170673650262,0.0045141318501079036
