date,total_count,proportion,ci_lower,ci_upper
2019-12-23,1,0,0,0
2019-12-26,2,0,0,0
2019-12-30,13,0,0,0
2019-12-31,1,0,0,0
2020-01-01,3,0,0,0
2020-01-02,2,0,0,0
2020-01-03,1,0,0,0
2020-01-04,1,0,0,0
2020-01-05,1,0,0,0
2020-01-07,1,0,0,0
2020-01-08,2,0,0,0
2020-01-10,14,0.07142857142857142,0.012721886112291648,0.3146926955395781
2020-01-11,1,0,0,0
2020-01-12,1,0,0,0
2020-01-13,1,0,0,0
2020-01-14,2,0,0,0
2020-01-15,0,0,0,0
2020-01-16,9,0,0,0
2020-01-17,2,0,0,0
2020-01-19,9,0,0,0
2020-01-20,5,0.2,0.036223160969787456,0.6244717358814612
2020-01-21,8,0,0,0
2020-01-22,25,0,0,0
2020-01-23,13,0,0,0
2020-01-24,9,0,0,0
2020-01-25,25,0,0,0
2020-01-26,16,0,0,0
2020-01-27,19,0,0,0
2020-01-28,11,0,0,0
2020-01-29,45,0,0,0
2020-01-30,22,0,0,0
2020-01-31,16,0,0,0
2020-02-01,18,0,0,0
2020-02-02,18,0.05555555555555555,0.009874935830924522,0.2575779980200754
2020-02-03,23,0,0,0
2020-02-04,10,0,0,0
2020-02-05,16,0,0,0
2020-02-06,32,0,0,0
2020-02-07,29,0,0,0
2020-02-08,27,0,0,0
2020-02-09,25,0,0,0
2020-02-10,22,0,0,0
2020-02-11,25,0,0,0
2020-02-12,12,0,0,0
2020-02-13,15,0,0,0
2020-02-14,10,0,0,0
2020-02-15,39,0,0,0
2020-02-16,36,0,0,0
2020-02-17,47,0,0,0
2020-02-18,23,0,0,0
2020-02-19,16,0,0,0
2020-02-20,11,0,0,0
2020-02-21,16,0,0,0
2020-02-22,13,0,0,0
2020-02-23,12,0,0,0
2020-02-24,31,0,0,0
2020-02-25,35,0,0,0
2020-02-26,29,0,0,0
2020-02-27,63,0,0,0
2020-02-28,68,0,0,0
2020-02-29,84,0,0,0
2020-03-01,149,0,0,0
2020-03-02,205,0,0,0
2020-03-03,224,0,0,0
2020-03-04,235,0,0,0
2020-03-05,245,0,0,0
2020-03-06,203,0,0,0
2020-03-07,173,0,0,0
2020-03-08,208,0,0,0
2020-03-09,372,0,0,0
2020-03-10,420,0,0,0
2020-03-11,522,0,0,0
2020-03-12,719,0,0,0
2020-03-13,814,0,0,0
2020-03-14,835,0,0,0
2020-03-15,978,0,0,0
2020-03-16,1232,0,0,0
2020-03-17,1161,0,0,0
2020-03-18,1166,0,0,0
2020-03-19,1142,0,0,0
2020-03-20,1113,0,0,0
2020-03-21,976,0,0,0
2020-03-22,856,0,0,0
2020-03-23,1658,0,0,0
2020-03-24,1784,0,0,0
2020-03-25,1643,0,0,0
2020-03-26,1672,0,0,0
2020-03-27,1688,0,0,0
2020-03-28,1355,0,0,0
2020-03-29,1250,0,0,0
2020-03-30,1807,0,0,0
2020-03-31,1871,0.0005344735435595938,9.179997766644744e-05,0.0029398970751686165
2020-04-01,1883,0,0,0
2020-04-02,1547,0,0,0
2020-04-03,1643,0.0006086427267194157,0.00010293453815551669,0.003295633427618642
2020-04-04,1244,0,0,0
2020-04-05,992,0,0,0
2020-04-06,1711,0,0,0
2020-04-07,1461,0,0,0
2020-04-08,1515,0,0,0
2020-04-09,1139,0,0,0
2020-04-10,1223,0,0,0
2020-04-11,1015,0,0,0
2020-04-12,846,0,0,0
2020-04-13,1329,0,0,0
2020-04-14,1233,0,0,0
2020-04-15,1155,0,0,0
2020-04-16,1131,0,0,0
2020-04-17,1009,0,0,0
2020-04-18,773,0,0,0
2020-04-19,656,0,0,0
2020-04-20,1113,0,0,0
2020-04-21,1085,0,0,0
2020-04-22,1102,0,0,0
2020-04-23,945,0,0,0
2020-04-24,918,0,0,0
2020-04-25,560,0,0,0
2020-04-26,471,0,0,0
2020-04-27,1040,0,0,0
2020-04-28,884,0,0,0
2020-04-29,1105,0,0,0
2020-04-30,1103,0,0,0
2020-05-01,999,0,0,0
2020-05-02,608,0,0,0
2020-05-03,503,0,0,0
2020-05-04,1001,0,0,0
2020-05-05,959,0,0,0
2020-05-06,801,0,0,0
2020-05-07,740,0,0,0
2020-05-08,656,0,0,0
2020-05-09,494,0,0,0
2020-05-10,445,0,0,0
2020-05-11,795,0,0,0
2020-05-12,771,0,0,0
2020-05-13,761,0,0,0
2020-05-14,772,0,0,0
2020-05-15,514,0,0,0
2020-05-16,289,0,0,0
2020-05-17,243,0,0,0
2020-05-18,568,0,0,0
2020-05-19,668,0,0,0
2020-05-20,498,0,0,0
2020-05-21,475,0,0,0
2020-05-22,612,0,0,0
2020-05-23,279,0,0,0
2020-05-24,270,0,0,0
2020-05-25,302,0,0,0
2020-05-26,541,0,0,0
2020-05-27,536,0,0,0
2020-05-28,343,0,0,0
2020-05-29,370,0,0,0
2020-05-30,280,0,0,0
2020-05-31,214,0,0,0
2020-06-01,500,0,0,0
2020-06-02,595,0,0,0
2020-06-03,399,0,0,0
2020-06-04,443,0,0,0
2020-06-05,399,0,0,0
2020-06-06,224,0,0,0
2020-06-07,356,0,0,0
2020-06-08,621,0,0,0
2020-06-09,531,0,0,0
2020-06-10,588,0,0,0
2020-06-11,746,0,0,0
2020-06-12,677,0,0,0
2020-06-13,642,0,0,0
2020-06-14,563,0,0,0
2020-06-15,846,0,0,0
2020-06-16,759,0,0,0
2020-06-17,667,0,0,0
2020-06-18,715,0,0,0
2020-06-19,736,0,0,0
2020-06-20,420,0,0,0
2020-06-21,478,0,0,0
2020-06-22,561,0,0,0
2020-06-23,614,0,0,0
2020-06-24,704,0,0,0
2020-06-25,569,0,0,0
2020-06-26,465,0,0,0
2020-06-27,372,0,0,0
2020-06-28,279,0,0,0
2020-06-29,593,0,0,0
2020-06-30,577,0,0,0
2020-07-01,624,0,0,0
2020-07-02,747,0,0,0
2020-07-03,515,0,0,0
2020-07-04,325,0,0,0
2020-07-05,293,0,0,0
2020-07-06,655,0,0,0
2020-07-07,726,0,0,0
2020-07-08,821,0,0,0
2020-07-09,753,0,0,0
2020-07-10,561,0,0,0
2020-07-11,361,0,0,0
2020-07-12,314,0,0,0
2020-07-13,707,0,0,0
2020-07-14,722,0,0,0
2020-07-15,920,0,0,0
2020-07-16,705,0,0,0
2020-07-17,694,0,0,0
2020-07-18,577,0,0,0
2020-07-19,434,0,0,0
2020-07-20,671,0,0,0
2020-07-21,766,0,0,0
2020-07-22,639,0,0,0
2020-07-23,814,0,0,0
2020-07-24,663,0,0,0
2020-07-25,460,0,0,0
2020-07-26,320,0,0,0
2020-07-27,819,0,0,0
2020-07-28,678,0,0,0
2020-07-29,678,0,0,0
2020-07-30,610,0,0,0
2020-07-31,568,0,0,0
2020-08-01,521,0,0,0
2020-08-02,433,0,0,0
2020-08-03,900,0,0,0
2020-08-04,738,0,0,0
2020-08-05,592,0,0,0
2020-08-06,700,0,0,0
2020-08-07,570,0,0,0
2020-08-08,395,0,0,0
2020-08-09,443,0,0,0
2020-08-10,795,0.0012578616352201257,0.00021688797948147558,0.006925815448664023
2020-08-11,755,0,0,0
2020-08-12,686,0,0,0
2020-08-13,777,0,0,0
2020-08-14,708,0,0,0
2020-08-15,405,0,0,0
2020-08-16,361,0,0,0
2020-08-17,856,0,0,0
2020-08-18,781,0.0012804097311139564,0.00022013368632942164,0.007028933624169316
2020-08-19,760,0,0,0
2020-08-20,931,0,0,0
2020-08-21,766,0,0,0
2020-08-22,354,0.002824858757062147,0.00048510981125034447,0.015395638858829386
2020-08-23,353,0,0,0
2020-08-24,682,0,0,0
2020-08-25,725,0,0,0
2020-08-26,982,0,0,0
2020-08-27,913,0,0,0
2020-08-28,747,0,0,0
2020-08-29,535,0,0,0
2020-08-30,649,0,0,0
2020-08-31,1032,0,0,0
2020-09-01,933,0,0,0
2020-09-02,764,0.002617801047120419,0.0007052455843987655,0.009324407480876859
2020-09-03,950,0.0010526315789473684,0.00018181511920533125,0.005810543023902226
2020-09-04,813,0,0,0
2020-09-05,440,0,0,0
2020-09-06,313,0,0,0
2020-09-07,893,0,0,0
2020-09-08,831,0,0,0
2020-09-09,1380,0,0,0
2020-09-10,1665,0,0,0
2020-09-11,890,0.0011235955056179776,0.00019529219725001795,0.006239310491148486
2020-09-12,380,0,0,0
2020-09-13,358,0.002793296089385475,0.0004746738737255002,0.015068044122366474
2020-09-14,833,0,0,0
2020-09-15,829,0,0,0
2020-09-16,1950,0,0,0
2020-09-17,971,0,0,0
2020-09-18,1259,0,0,0
2020-09-19,802,0,0,0
2020-09-20,689,0,0,0
2020-09-21,1489,0,0,0
2020-09-22,1046,0,0,0
2020-09-23,1344,0,0,0
2020-09-24,2610,0,0,0
2020-09-25,1142,0,0,0
2020-09-26,496,0,0,0
2020-09-27,1068,0,0,0
2020-09-28,804,0,0,0
2020-09-29,1251,0,0,0
2020-09-30,1128,0,0,0
2020-10-01,2126,0,0,0
2020-10-02,1416,0,0,0
2020-10-03,1235,0,0,0
2020-10-04,684,0,0,0
2020-10-05,2269,0.00044072278536800354,7.661869841839593e-05,0.002454577550058969
2020-10-06,1985,0,0,0
2020-10-07,2003,0,0,0
2020-10-08,1854,0,0,0
2020-10-09,1576,0,0,0
2020-10-10,825,0,0,0
2020-10-11,1001,0.000999000999000999,0.00017257217837500936,0.005516328621904216
2020-10-12,2121,0.0004714757190004715,8.12005737431738e-05,0.00260108816571336
2020-10-13,1576,0.0006345177664974619,0.00010673107743381218,0.003416886619214649
2020-10-14,1942,0,0,0
2020-10-15,2525,0,0,0
2020-10-16,1509,0,0,0
2020-10-17,1233,0,0,0
2020-10-18,747,0,0,0
2020-10-19,1919,0,0,0
2020-10-20,2118,0,0,0
2020-10-21,2483,0,0,0
2020-10-22,2003,0,0,0
2020-10-23,1484,0,0,0
2020-10-24,1533,0,0,0
2020-10-25,813,0,0,0
2020-10-26,2660,0,0,0
2020-10-27,1746,0,0,0
2020-10-28,1377,0,0,0
2020-10-29,2095,0,0,0
2020-10-30,2184,0,0,0
2020-10-31,1019,0,0,0
2020-11-01,2520,0,0,0
2020-11-02,3671,0,0,0
2020-11-03,2187,0,0,0
2020-11-04,3274,0,0,0
2020-11-05,2960,0,0,0
2020-11-06,2291,0,0,0
2020-11-07,1749,0,0,0
2020-11-08,2616,0,0,0
2020-11-09,2935,0.00034071550255536625,5.878364215590632e-05,0.001883985807355501
2020-11-10,2260,0.0004424778761061947,7.661869841839593e-05,0.002454577550058969
2020-11-11,2585,0,0,0
2020-11-12,3199,0,0,0
2020-11-13,2927,0,0,0
2020-11-14,2660,0,0,0
2020-11-15,1483,0,0,0
2020-11-16,1680,0,0,0
2020-11-17,2107,0,0,0
2020-11-18,2923,0,0,0
2020-11-19,1329,0,0,0
2020-11-20,1860,0,0,0
2020-11-21,1478,0,0,0
2020-11-22,1707,0,0,0
2020-11-23,2178,0,0,0
2020-11-24,1762,0,0,0
2020-11-25,1665,0,0,0
2020-11-26,1120,0,0,0
2020-11-27,1563,0,0,0
2020-11-28,882,0,0,0
2020-11-29,830,0,0,0
2020-11-30,2351,0,0,0
2020-12-01,2539,0,0,0
2020-12-02,2222,0,0,0
2020-12-03,1909,0,0,0
2020-12-04,1570,0,0,0
2020-12-05,896,0,0,0
2020-12-06,1120,0,0,0
2020-12-07,2510,0,0,0
2020-12-08,2215,0,0,0
2020-12-09,2238,0,0,0
