date,total_count,proportion,ci_lower,ci_upper
2019-12-23,1,0,0,0
2019-12-26,2,0,0,0
2019-12-30,13,0,0,0
2019-12-31,1,0,0,0
2020-01-01,3,0,0,0
2020-01-02,2,0,0,0
2020-01-03,1,0,0,0
2020-01-04,1,0,0,0
2020-01-05,1,0,0,0
2020-01-07,1,0,0,0
2020-01-08,2,0,0,0
2020-01-10,14,0,0,0
2020-01-11,1,0,0,0
2020-01-12,8,0,0,0
2020-01-13,1,0,0,0
2020-01-14,6,0,0,0
2020-01-15,7,0,0,0
2020-01-16,9,0,0,0
2020-01-17,2,0,0,0
2020-01-19,12,0,0,0
2020-01-20,5,0,0,0
2020-01-21,8,0,0,0
2020-01-22,25,0,0,0
2020-01-23,13,0,0,0
2020-01-24,9,0,0,0
2020-01-25,24,0,0,0
2020-01-26,16,0,0,0
2020-01-27,19,0,0,0
2020-01-28,11,0,0,0
2020-01-29,42,0,0,0
2020-01-30,22,0,0,0
2020-01-31,14,0,0,0
2020-02-01,15,0,0,0
2020-02-02,17,0,0,0
2020-02-03,19,0,0,0
2020-02-04,9,0,0,0
2020-02-05,15,0,0,0
2020-02-06,30,0,0,0
2020-02-07,25,0,0,0
2020-02-08,24,0,0,0
2020-02-09,18,0,0,0
2020-02-10,21,0,0,0
2020-02-11,24,0,0,0
2020-02-12,10,0,0,0
2020-02-13,15,0,0,0
2020-02-14,9,0,0,0
2020-02-15,37,0,0,0
2020-02-16,34,0,0,0
2020-02-17,45,0,0,0
2020-02-18,22,0,0,0
2020-02-19,16,0,0,0
2020-02-20,9,0,0,0
2020-02-21,16,0,0,0
2020-02-22,11,0,0,0
2020-02-23,9,0,0,0
2020-02-24,29,0,0,0
2020-02-25,32,0,0,0
2020-02-26,26,0,0,0
2020-02-27,59,0,0,0
2020-02-28,59,0,0,0
2020-02-29,74,0,0,0
2020-03-01,119,0,0,0
2020-03-02,176,0,0,0
2020-03-03,190,0,0,0
2020-03-04,185,0,0,0
2020-03-05,199,0,0,0
2020-03-06,170,0,0,0
2020-03-07,148,0,0,0
2020-03-08,172,0,0,0
2020-03-09,327,0,0,0
2020-03-10,342,0,0,0
2020-03-11,413,0,0,0
2020-03-12,587,0,0,0
2020-03-13,724,0,0,0
2020-03-14,757,0,0,0
2020-03-15,915,0,0,0
2020-03-16,1168,0,0,0
2020-03-17,1061,0,0,0
2020-03-18,1054,0,0,0
2020-03-19,1055,0,0,0
2020-03-20,1000,0,0,0
2020-03-21,857,0,0,0
2020-03-22,749,0,0,0
2020-03-23,1364,0,0,0
2020-03-24,1505,0,0,0
2020-03-25,1429,0,0,0
2020-03-26,1373,0,0,0
2020-03-27,1437,0,0,0
2020-03-28,1131,0,0,0
2020-03-29,1089,0,0,0
2020-03-30,1598,0,0,0
2020-03-31,1610,0,0,0
2020-04-01,1667,0,0,0
2020-04-02,1409,0,0,0
2020-04-03,1463,0,0,0
2020-04-04,1116,0,0,0
2020-04-05,905,0,0,0
2020-04-06,1567,0,0,0
2020-04-07,1331,0,0,0
2020-04-08,1351,0,0,0
2020-04-09,1032,0,0,0
2020-04-10,1126,0,0,0
2020-04-11,912,0,0,0
2020-04-12,764,0,0,0
2020-04-13,1176,0,0,0
2020-04-14,1061,0,0,0
2020-04-15,979,0,0,0
2020-04-16,1001,0,0,0
2020-04-17,914,0,0,0
2020-04-18,712,0,0,0
2020-04-19,581,0,0,0
2020-04-20,1001,0,0,0
2020-04-21,868,0,0,0
2020-04-22,972,0,0,0
2020-04-23,861,0,0,0
2020-04-24,807,0,0,0
2020-04-25,498,0,0,0
2020-04-26,432,0,0,0
2020-04-27,952,0,0,0
2020-04-28,808,0,0,0
2020-04-29,962,0,0,0
2020-04-30,999,0,0,0
2020-05-01,882,0,0,0
2020-05-02,513,0,0,0
2020-05-03,406,0,0,0
2020-05-04,859,0,0,0
2020-05-05,780,0,0,0
2020-05-06,712,0,0,0
2020-05-07,609,0,0,0
2020-05-08,576,0,0,0
2020-05-09,416,0,0,0
2020-05-10,384,0,0,0
2020-05-11,692,0,0,0
2020-05-12,671,0,0,0
2020-05-13,659,0,0,0
2020-05-14,676,0,0,0
2020-05-15,454,0,0,0
2020-05-16,244,0,0,0
2020-05-17,201,0,0,0
2020-05-18,487,0,0,0
2020-05-19,557,0,0,0
2020-05-20,432,0,0,0
2020-05-21,382,0,0,0
2020-05-22,537,0,0,0
2020-05-23,235,0,0,0
2020-05-24,228,0,0,0
2020-05-25,230,0,0,0
2020-05-26,449,0,0,0
2020-05-27,449,0,0,0
2020-05-28,276,0,0,0
2020-05-29,307,0,0,0
2020-05-30,249,0,0,0
2020-05-31,190,0,0,0
2020-06-01,401,0,0,0
2020-06-02,530,0,0,0
2020-06-03,334,0,0,0
2020-06-04,392,0,0,0
2020-06-05,353,0,0,0
2020-06-06,203,0,0,0
2020-06-07,332,0,0,0
2020-06-08,574,0,0,0
2020-06-09,491,0,0,0
2020-06-10,546,0,0,0
2020-06-11,705,0,0,0
2020-06-12,644,0,0,0
2020-06-13,609,0,0,0
2020-06-14,545,0,0,0
2020-06-15,794,0,0,0
2020-06-16,682,0,0,0
2020-06-17,576,0,0,0
2020-06-18,658,0,0,0
2020-06-19,692,0,0,0
2020-06-20,388,0,0,0
2020-06-21,438,0,0,0
2020-06-22,487,0,0,0
2020-06-23,550,0,0,0
2020-06-24,620,0,0,0
2020-06-25,528,0,0,0
2020-06-26,424,0,0,0
2020-06-27,337,0,0,0
2020-06-28,245,0,0,0
2020-06-29,536,0,0,0
2020-06-30,523,0,0,0
2020-07-01,573,0,0,0
2020-07-02,709,0,0,0
2020-07-03,476,0,0,0
2020-07-04,306,0,0,0
2020-07-05,271,0,0,0
2020-07-06,574,0,0,0
2020-07-07,628,0,0,0
2020-07-08,728,0,0,0
2020-07-09,670,0,0,0
2020-07-10,523,0,0,0
2020-07-11,377,0,0,0
2020-07-12,316,0,0,0
2020-07-13,619,0,0,0
2020-07-14,662,0.0015105740181268882,0.0002366612052391375,0.007553784136817105
2020-07-15,864,0,0,0
2020-07-16,643,0,0,0
2020-07-17,617,0,0,0
2020-07-18,570,0,0,0
2020-07-19,426,0,0,0
2020-07-20,620,0,0,0
2020-07-21,666,0.0015015015015015015,0.00022235200327456268,0.007099402089267115
2020-07-22,560,0.0035714285714285713,0.0008416007687042657,0.011114944836210092
2020-07-23,740,0,0,0
2020-07-24,597,0,0,0
2020-07-25,442,0,0,0
2020-07-26,305,0,0,0
2020-07-27,768,0,0,0
2020-07-28,627,0,0,0
2020-07-29,628,0,0,0
2020-07-30,538,0,0,0
2020-07-31,513,0,0,0
2020-08-01,468,0,0,0
2020-08-02,402,0,0,0
2020-08-03,780,0,0,0
2020-08-04,659,0,0,0
2020-08-05,525,0.0019047619047619048,0.0002908664889626838,0.009272332874014558
2020-08-06,634,0,0,0
2020-08-07,502,0,0,0
2020-08-08,355,0,0,0
2020-08-09,414,0,0,0
2020-08-10,741,0,0,0
2020-08-11,696,0,0,0
2020-08-12,651,0,0,0
2020-08-13,703,0,0,0
2020-08-14,658,0,0,0
2020-08-15,389,0,0,0
2020-08-16,332,0,0,0
2020-08-17,786,0,0,0
2020-08-18,728,0,0,0
2020-08-19,677,0,0,0
2020-08-20,866,0,0,0
2020-08-21,721,0,0,0
2020-08-22,323,0,0,0
2020-08-23,326,0,0,0
2020-08-24,619,0,0,0
2020-08-25,674,0,0,0
2020-08-26,897,0,0,0
2020-08-27,842,0,0,0
2020-08-28,689,0,0,0
2020-08-29,485,0,0,0
2020-08-30,601,0,0,0
2020-08-31,942,0,0,0
2020-09-01,869,0,0,0
2020-09-02,669,0,0,0
2020-09-03,892,0,0,0
2020-09-04,731,0,0,0
2020-09-05,387,0,0,0
2020-09-06,272,0,0,0
2020-09-07,829,0,0,0
2020-09-08,735,0,0,0
2020-09-09,1261,0,0,0
2020-09-10,1559,0,0,0
2020-09-11,748,0,0,0
2020-09-12,330,0,0,0
2020-09-13,310,0.0032258064516129032,0.0004746738737255002,0.015068044122366474
2020-09-14,686,0,0,0
2020-09-15,719,0,0,0
2020-09-16,1633,0,0,0
2020-09-17,840,0,0,0
2020-09-18,1155,0,0,0
2020-09-19,733,0,0,0
2020-09-20,619,0,0,0
2020-09-21,1351,0,0,0
2020-09-22,904,0,0,0
2020-09-23,1217,0,0,0
2020-09-24,2431,0,0,0
2020-09-25,1037,0,0,0
2020-09-26,426,0,0,0
2020-09-27,995,0,0,0
2020-09-28,663,0,0,0
2020-09-29,1007,0,0,0
2020-09-30,985,0,0,0
2020-10-01,1834,0,0,0
2020-10-02,1259,0,0,0
2020-10-03,1049,0.0009532888465204957,0.00013674431518629935,0.004374695539696337
2020-10-04,600,0,0,0
2020-10-05,2019,0,0,0
2020-10-06,1803,0,0,0
2020-10-07,1814,0.0005512679162072767,8.678994000763197e-05,0.00277977240713456
2020-10-08,1602,0.0006242197253433209,9.24248346936213e-05,0.0029598653861898625
2020-10-09,1323,0,0,0
2020-10-10,698,0,0,0
2020-10-11,889,0,0,0
2020-10-12,1961,0,0,0
2020-10-13,1359,0,0,0
2020-10-14,1726,0.0005793742757821553,8.915708609945676e-05,0.0028554328448708384
2020-10-15,2282,0,0,0
2020-10-16,1332,0,0,0
2020-10-17,1104,0,0,0
2020-10-18,648,0,0,0
2020-10-19,1608,0,0,0
2020-10-20,1906,0,0,0
2020-10-21,2262,0,0,0
2020-10-22,1788,0,0,0
2020-10-23,1297,0,0,0
2020-10-24,1355,0,0,0
2020-10-25,726,0,0,0
2020-10-26,2445,0,0,0
2020-10-27,1471,0,0,0
2020-10-28,1155,0,0,0
2020-10-29,1868,0.0005353319057815846,8.214526014367836e-05,0.002631291715433159
2020-10-30,1929,0,0,0
2020-10-31,872,0,0,0
2020-11-01,2389,0,0,0
2020-11-02,3460,0,0,0
2020-11-03,1933,0,0,0
2020-11-04,2987,0,0,0
2020-11-05,2761,0.0003621876131836291,5.8881684292348196e-05,0.0018871237278519832
2020-11-06,2064,0,0,0
2020-11-07,1585,0,0,0
2020-11-08,2474,0,0,0
2020-11-09,2633,0.00037979491074819596,5.878364215590632e-05,0.001883985807355501
2020-11-10,2017,0,0,0
2020-11-11,2424,0,0,0
2020-11-12,2794,0,0,0
2020-11-13,2649,0.00037750094375235937,5.9376841806623746e-05,0.0019029714403458423
2020-11-14,2515,0,0,0
2020-11-15,1375,0,0,0
2020-11-16,1420,0,0,0
2020-11-17,1870,0.0005347593582887701,8.218350501607703e-05,0.002632514454164561
2020-11-18,2681,0,0,0
2020-11-19,1062,0,0,0
2020-11-20,1581,0,0,0
2020-11-21,1271,0,0,0
2020-11-22,1569,0,0,0
2020-11-23,1836,0,0,0
2020-11-24,1426,0,0,0
2020-11-25,1398,0,0,0
2020-11-26,984,0,0,0
2020-11-27,1389,0,0,0
2020-11-28,750,0,0,0
2020-11-29,700,0,0,0
2020-11-30,1843,0,0,0
2020-12-01,2187,0,0,0
2020-12-02,1910,0.0005235602094240838,7.797245955554502e-05,0.0024978688161314344
2020-12-03,1562,0,0,0
2020-12-04,1396,0,0,0
2020-12-05,770,0,0,0
2020-12-06,974,0,0,0
2020-12-07,2209,0,0,0
2020-12-08,1986,0,0,0
2020-12-09,1954,0,0,0
2020-12-10,4029,0,0,0
2020-12-11,3387,0,0,0
2020-12-12,1893,0,0,0
2020-12-13,1797,0,0,0
