date,total_count,proportion,ci_lower,ci_upper
2019-12-23,1,0,0,0
2019-12-26,2,0,0,0
2019-12-30,13,0,0,0
2019-12-31,2,0,0,0
2020-01-01,3,0,0,0
2020-01-02,2,0,0,0
2020-01-03,1,0,0,0
2020-01-04,1,0,0,0
2020-01-05,2,0,0,0
2020-01-07,1,0,0,0
2020-01-08,2,0,0,0
2020-01-10,14,0,0,0
2020-01-11,1,0,0,0
2020-01-12,25,0,0,0
2020-01-13,1,0,0,0
2020-01-14,11,0,0,0
2020-01-15,19,0,0,0
2020-01-16,9,0,0,0
2020-01-17,2,0,0,0
2020-01-19,23,0,0,0
2020-01-20,5,0,0,0
2020-01-21,8,0,0,0
2020-01-22,25,0,0,0
2020-01-23,13,0,0,0
2020-01-24,9,0,0,0
2020-01-25,25,0,0,0
2020-01-26,16,0,0,0
2020-01-27,20,0,0,0
2020-01-28,11,0,0,0
2020-01-29,46,0,0,0
2020-01-30,22,0,0,0
2020-01-31,15,0,0,0
2020-02-01,18,0,0,0
2020-02-02,18,0,0,0
2020-02-03,23,0,0,0
2020-02-04,10,0,0,0
2020-02-05,16,0,0,0
2020-02-06,32,0,0,0
2020-02-07,30,0,0,0
2020-02-08,27,0,0,0
2020-02-09,25,0,0,0
2020-02-10,22,0,0,0
2020-02-11,25,0,0,0
2020-02-12,12,0,0,0
2020-02-13,15,0,0,0
2020-02-14,10,0,0,0
2020-02-15,40,0,0,0
2020-02-16,36,0,0,0
2020-02-17,47,0,0,0
2020-02-18,22,0,0,0
2020-02-19,16,0,0,0
2020-02-20,11,0,0,0
2020-02-21,17,0,0,0
2020-02-22,13,0,0,0
2020-02-23,12,0,0,0
2020-02-24,31,0,0,0
2020-02-25,35,0,0,0
2020-02-26,29,0,0,0
2020-02-27,62,0,0,0
2020-02-28,66,0,0,0
2020-02-29,82,0,0,0
2020-03-01,148,0,0,0
2020-03-02,202,0,0,0
2020-03-03,222,0,0,0
2020-03-04,232,0,0,0
2020-03-05,244,0,0,0
2020-03-06,199,0,0,0
2020-03-07,178,0,0,0
2020-03-08,208,0,0,0
2020-03-09,377,0,0,0
2020-03-10,415,0,0,0
2020-03-11,527,0,0,0
2020-03-12,717,0,0,0
2020-03-13,815,0,0,0
2020-03-14,838,0,0,0
2020-03-15,986,0.0030425963488843813,0.001032124488339839,0.008880433567245261
2020-03-16,1241,0,0,0
2020-03-17,1175,0.000851063829787234,0.00014948220577074576,0.004780797082194835
2020-03-18,1163,0,0,0
2020-03-19,1146,0,0,0
2020-03-20,1126,0.0008880994671403197,0.00015567835161072764,0.004978252416960222
2020-03-21,981,0.0010193679918450561,0.00017814533524065202,0.005693744219840278
2020-03-22,851,0,0,0
2020-03-23,1671,0,0,0
2020-03-24,1779,0.0005621135469364812,9.76394240172123e-05,0.003126483479441898
2020-03-25,1642,0,0,0
2020-03-26,1688,0.0005924170616113745,0.00010311492711877254,0.003301395139544724
2020-03-27,1692,0,0,0
2020-03-28,1366,0,0,0
2020-03-29,1264,0.0007911392405063291,0.00013846048861436102,0.004429423446346779
2020-03-30,1803,0,0,0
2020-03-31,1883,0.0005310674455655868,9.179997766644744e-05,0.0029398970751686165
2020-04-01,1896,0,0,0
2020-04-02,1564,0,0,0
2020-04-03,1658,0.0006031363088057901,0.00010293453815551669,0.003295633427618642
2020-04-04,1240,0.0016129032258064516,0.00043094683160195345,0.005710457082556232
2020-04-05,998,0,0,0
2020-04-06,1731,0,0,0
2020-04-07,1468,0.0006811989100817438,0.00011832080042554035,0.0037869055283515176
2020-04-08,1533,0.0006523157208088715,0.00011265726508001767,0.0036061136154467007
2020-04-09,1156,0.0025951557093425604,0.0008694116547486787,0.007486211036791508
2020-04-10,1244,0,0,0
2020-04-11,1031,0.0009699321047526673,0.00016845499014112746,0.005385232941577869
2020-04-12,862,0.001160092807424594,0.00020315893963282114,0.0064894643267192865
2020-04-13,1349,0,0,0
2020-04-14,1252,0,0,0
2020-04-15,1173,0.0008525149190110827,0.00014699265392317698,0.004701445514214445
2020-04-16,1145,0.0017467248908296944,0.00047334647904400556,0.006270134318340608
2020-04-17,1023,0.0009775171065493646,0.00016926263612468523,0.005410951218578834
2020-04-18,782,0,0,0
2020-04-19,662,0,0,0
2020-04-20,1135,0.001762114537444934,0.00047622349695130905,0.006308097122759903
2020-04-21,1093,0.0009149130832570906,0.0001600542080626585,0.005117665747529904
2020-04-22,1106,0.0009041591320072332,0.00015664540393451704,0.0050090648069385174
2020-04-23,952,0.0010504201680672268,0.0001821904304755492,0.0058224870010816525
2020-04-24,932,0.001072961373390558,0.00018603056028500842,0.00594468413563087
2020-04-25,564,0,0,0
2020-04-26,481,0.002079002079002079,0.00036255609925056387,0.011538635649778044
2020-04-27,1063,0.0018814675446848542,0.000511295835399175,0.006770740816973839
2020-04-28,899,0,0,0
2020-04-29,1129,0.002657218777679362,0.0008821916247311247,0.007595795380558832
2020-04-30,1133,0.00088261253309797,0.00015179601973555102,0.004854539030368936
2020-05-01,1032,0,0,0
2020-05-02,611,0.0016366612111292963,0.0002824878770914684,0.009006973888796795
2020-05-03,510,0.00196078431372549,0.0003318816326307337,0.010569847535093458
2020-05-04,1007,0.0019860973187686196,0.0005260067400308318,0.0069647158296492415
2020-05-05,961,0.004162330905306972,0.0015851146045958505,0.010426551366894903
2020-05-06,805,0.006211180124223602,0.002557254390366184,0.013923948731746367
2020-05-07,742,0.0013477088948787063,0.000232607059345355,0.0074250770522710004
2020-05-08,679,0.0029455081001472753,0.0007917866148798744,0.010461272903954821
2020-05-09,512,0,0,0
2020-05-10,460,0,0,0
2020-05-11,807,0.0024783147459727386,0.000671567362317804,0.008881554701671155
2020-05-12,780,0.002564102564102564,0.000684987179435506,0.00905804797182904
2020-05-13,775,0.0025806451612903226,0.0006980646558215685,0.00923000193373259
2020-05-14,800,0.0025,0.0006765377176205196,0.00894692775100553
2020-05-15,538,0.011152416356877323,0.005092477688253884,0.02398312887335962
2020-05-16,295,0,0,0
2020-05-17,258,0.003875968992248062,0.0006714943673873084,0.021220144717373084
2020-05-18,558,0,0,0
2020-05-19,681,0.005873715124816446,0.0021867909565696456,0.01435541614623075
2020-05-20,515,0.001941747572815534,0.00033002018404663556,0.010511013618837179
2020-05-21,489,0.006134969325153374,0.002022315752590074,0.017318870188182064
2020-05-22,593,0.006745362563237774,0.0024639007673753345,0.0161596054643654
2020-05-23,281,0.014234875444839857,0.005413932945500996,0.03516150249619066
2020-05-24,277,0.007220216606498195,0.0019539921698455056,0.02557569450513455
2020-05-25,311,0.006430868167202572,0.0017318683052554198,0.022708852598767
2020-05-26,549,0,0,0
2020-05-27,548,0.0072992700729927005,0.0028317049426503276,0.01854913752205438
2020-05-28,356,0,0,0
2020-05-29,388,0.005154639175257732,0.001400251170720381,0.018409693008971696
2020-05-30,282,0.0035460992907801418,0.0006174697118209315,0.01953698706733016
2020-05-31,217,0.009216589861751152,0.0025311179117705166,0.03297668496594817
2020-06-01,527,0,0,0
2020-06-02,602,0.0016611295681063123,0.0002899110684848352,0.009242078926972392
2020-06-03,408,0.00980392156862745,0.003790989182728138,0.024753881919880667
2020-06-04,453,0,0,0
2020-06-05,413,0,0,0
2020-06-06,225,0.013333333333333334,0.004445614608341354,0.03764099444667709
2020-06-07,356,0.0028089887640449437,0.0004932429521416788,0.01565083777268377
2020-06-08,627,0.003189792663476874,0.0008737798793617245,0.011536925588591
2020-06-09,542,0.0018450184501845018,0.00032277861670390845,0.010282084923014223
2020-06-10,600,0.0016666666666666668,0.0002913465645863417,0.009287534246430815
2020-06-11,760,0.005263157894736842,0.0020404912287054757,0.013401550517595194
2020-06-12,689,0.001451378809869376,0.0002551322861956816,0.008139881751481857
2020-06-13,646,0.0046439628482972135,0.0015781233959612912,0.01354322102947187
2020-06-14,566,0.0088339222614841,0.0037590477103076675,0.02040400190061445
2020-06-15,856,0.0035046728971962616,0.0011884164608494583,0.010217616813392302
2020-06-16,765,0.00261437908496732,0.000716298329566978,0.009469693178296459
2020-06-17,671,0.0014903129657228018,0.0002627269058399958,0.008380718540548626
2020-06-18,727,0.008253094910591471,0.0037566989263001704,0.017742630101811162
2020-06-19,746,0.005361930294906166,0.002075892118892922,0.013632447670261722
2020-06-20,425,0.007058823529411765,0.0024034386128234486,0.02054582750315037
2020-06-21,480,0.0020833333333333333,0.00036405155710921765,0.011585831595224791
2020-06-22,572,0.008741258741258742,0.0037262542340253764,0.020227715158278675
2020-06-23,623,0.0016051364365971107,0.0002824878770914684,0.009006973888796795
2020-06-24,707,0.004243281471004243,0.0014379934015758867,0.012348818686708124
2020-06-25,574,0.003484320557491289,0.0009527056381496142,0.012570987729142417
2020-06-26,473,0.0021141649048625794,0.0003701588263313515,0.011778540454263338
2020-06-27,378,0.007936507936507936,0.002688434220990413,0.022951308839688784
2020-06-28,278,0.014388489208633094,0.005568997959385648,0.036150045338002756
2020-06-29,598,0.0016722408026755853,0.00029426063054771844,0.009379799586568824
2020-06-30,588,0.0017006802721088435,0.0002992491439505428,0.00953771748149301
2020-07-01,630,0.004761904761904762,0.0016207417262670964,0.013906165942778296
2020-07-02,747,0.004016064257028112,0.0013468726430560744,0.011571298273312892
2020-07-03,519,0.0038535645472061657,0.0010493091065499759,0.013834861012134651
2020-07-04,327,0.0030581039755351682,0.0005383736493467919,0.01706520588980683
2020-07-05,297,0.003367003367003367,0.0005945909373711849,0.01882293642586581
2020-07-06,672,0.001488095238095238,0.00026040146505072097,0.0083069842738071
2020-07-07,737,0.005427408412483039,0.0021011287444757058,0.013797016579308572
2020-07-08,827,0,0,0
2020-07-09,760,0.006578947368421052,0.0028095683906370233,0.01528777359494535
2020-07-10,598,0.0016722408026755853,0.00029279634716021595,0.00933343890104953
2020-07-11,412,0,0,0
2020-07-12,333,0.003003003003003003,0.0005193653137751012,0.01646985297743806
2020-07-13,728,0.0013736263736263737,0.00024020366930016933,0.007666227154302616
2020-07-14,746,0.0013404825737265416,0.0002366612052391375,0.007553784136817105
2020-07-15,939,0.006389776357827476,0.002919196353783603,0.013811796454305946
2020-07-16,718,0.002785515320334262,0.0007610242788973206,0.010057339347031432
2020-07-17,706,0.00424929178470255,0.0014420584191124307,0.012383489287006458
2020-07-18,584,0.0017123287671232876,0.0003007788483984775,0.009586135004654522
2020-07-19,438,0,0,0
2020-07-20,693,0,0,0
2020-07-21,791,0.0037926675094816687,0.0012857666469751428,0.011049513940048647
2020-07-22,650,0,0,0
2020-07-23,829,0.0012062726176115801,0.00021168605802659925,0.006760514892606551
2020-07-24,673,0.0014858841010401188,0.00026117202447332945,0.008331417778798492
2020-07-25,472,0,0,0
2020-07-26,325,0.003076923076923077,0.0005433451436958484,0.017220830678341265
2020-07-27,835,0.005988023952095809,0.0025481010770973655,0.013874439053812165
2020-07-28,688,0.00436046511627907,0.001481853972834106,0.01272283581484608
2020-07-29,692,0,0,0
2020-07-30,625,0.0048,0.0016233204856982838,0.013928122403011936
2020-07-31,583,0.0017152658662092624,0.00030129223117178656,0.009602383603153904
2020-08-01,540,0,0,0
2020-08-02,444,0.0022522522522522522,0.0003967843856376091,0.01261805202881239
2020-08-03,915,0.006557377049180328,0.0029955172319314385,0.01417059231492904
2020-08-04,759,0.0013175230566534915,0.0002301805190878874,0.00734803010161551
2020-08-05,604,0.0016556291390728477,0.0002908664889626838,0.009272332874014558
