date,total_count,proportion,ci_lower,ci_upper
2019-12-23,1,0,0,0
2019-12-26,2,0,0,0
2019-12-30,13,0,0,0
2019-12-31,1,0,0,0
2020-01-01,3,0,0,0
2020-01-02,2,0,0,0
2020-01-03,1,0,0,0
2020-01-04,1,0,0,0
2020-01-05,2,0,0,0
2020-01-07,1,0,0,0
2020-01-08,2,0,0,0
2020-01-10,14,0,0,0
2020-01-11,1,0,0,0
2020-01-12,24,0,0,0
2020-01-13,1,0,0,0
2020-01-14,11,0,0,0
2020-01-15,18,0,0,0
2020-01-16,9,0,0,0
2020-01-17,2,0,0,0
2020-01-19,23,0,0,0
2020-01-20,5,0,0,0
2020-01-21,8,0,0,0
2020-01-22,25,0,0,0
2020-01-23,13,0,0,0
2020-01-24,9,0,0,0
2020-01-25,25,0,0,0
2020-01-26,16,0,0,0
2020-01-27,20,0,0,0
2020-01-28,11,0,0,0
2020-01-29,45,0,0,0
2020-01-30,22,0,0,0
2020-01-31,16,0,0,0
2020-02-01,18,0,0,0
2020-02-02,18,0,0,0
2020-02-03,23,0,0,0
2020-02-04,10,0,0,0
2020-02-05,16,0,0,0
2020-02-06,32,0,0,0
2020-02-07,28,0,0,0
2020-02-08,27,0,0,0
2020-02-09,24,0,0,0
2020-02-10,22,0,0,0
2020-02-11,25,0,0,0
2020-02-12,12,0,0,0
2020-02-13,15,0,0,0
2020-02-14,10,0,0,0
2020-02-15,40,0,0,0
2020-02-16,36,0,0,0
2020-02-17,47,0,0,0
2020-02-18,23,0,0,0
2020-02-19,16,0,0,0
2020-02-20,11,0,0,0
2020-02-21,17,0,0,0
2020-02-22,13,0,0,0
2020-02-23,12,0,0,0
2020-02-24,31,0,0,0
2020-02-25,36,0,0,0
2020-02-26,29,0,0,0
2020-02-27,63,0,0,0
2020-02-28,66,0,0,0
2020-02-29,82,0,0,0
2020-03-01,146,0,0,0
2020-03-02,198,0,0,0
2020-03-03,219,0,0,0
2020-03-04,233,0,0,0
2020-03-05,244,0,0,0
2020-03-06,195,0,0,0
2020-03-07,176,0,0,0
2020-03-08,206,0,0,0
2020-03-09,374,0,0,0
2020-03-10,410,0,0,0
2020-03-11,525,0,0,0
2020-03-12,712,0,0,0
2020-03-13,808,0,0,0
2020-03-14,837,0,0,0
2020-03-15,978,0,0,0
2020-03-16,1240,0,0,0
2020-03-17,1173,0,0,0
2020-03-18,1157,0,0,0
2020-03-19,1144,0,0,0
2020-03-20,1116,0,0,0
2020-03-21,979,0,0,0
2020-03-22,848,0,0,0
2020-03-23,1655,0,0,0
2020-03-24,1761,0,0,0
2020-03-25,1633,0.000612369871402327,0.00010589867979353849,0.003390303473660146
2020-03-26,1677,0,0,0
2020-03-27,1683,0.0005941770647653001,0.00010323553808842997,0.0033052474862470746
2020-03-28,1361,0,0,0
2020-03-29,1255,0,0,0
2020-03-30,1791,0,0,0
2020-03-31,1865,0,0,0
2020-04-01,1876,0,0,0
2020-04-02,1548,0,0,0
2020-04-03,1627,0,0,0
2020-04-04,1229,0,0,0
2020-04-05,992,0,0,0
2020-04-06,1708,0,0,0
2020-04-07,1460,0,0,0
2020-04-08,1514,0,0,0
2020-04-09,1147,0,0,0
2020-04-10,1230,0,0,0
2020-04-11,1017,0,0,0
2020-04-12,850,0,0,0
2020-04-13,1327,0,0,0
2020-04-14,1245,0,0,0
2020-04-15,1155,0,0,0
2020-04-16,1135,0,0,0
2020-04-17,1017,0,0,0
2020-04-18,775,0,0,0
2020-04-19,652,0,0,0
2020-04-20,1121,0,0,0
2020-04-21,1068,0,0,0
2020-04-22,1098,0,0,0
2020-04-23,937,0,0,0
2020-04-24,917,0,0,0
2020-04-25,554,0,0,0
2020-04-26,474,0,0,0
2020-04-27,1049,0,0,0
2020-04-28,876,0,0,0
2020-04-29,1108,0,0,0
2020-04-30,1108,0,0,0
2020-05-01,1010,0.0019801980198019802,0.0005290510911221008,0.007004852242487931
2020-05-02,602,0,0,0
2020-05-03,502,0,0,0
2020-05-04,995,0,0,0
2020-05-05,938,0,0,0
2020-05-06,801,0,0,0
2020-05-07,729,0,0,0
2020-05-08,664,0,0,0
2020-05-09,500,0,0,0
2020-05-10,446,0,0,0
2020-05-11,799,0,0,0
2020-05-12,770,0,0,0
2020-05-13,761,0,0,0
2020-05-14,783,0,0,0
2020-05-15,528,0,0,0
2020-05-16,300,0,0,0
2020-05-17,240,0,0,0
2020-05-18,552,0,0,0
2020-05-19,657,0,0,0
2020-05-20,499,0,0,0
2020-05-21,471,0,0,0
2020-05-22,578,0,0,0
2020-05-23,274,0,0,0
2020-05-24,273,0,0,0
2020-05-25,302,0,0,0
2020-05-26,536,0,0,0
2020-05-27,532,0,0,0
2020-05-28,345,0,0,0
2020-05-29,362,0,0,0
2020-05-30,279,0,0,0
2020-05-31,217,0,0,0
2020-06-01,508,0.001968503937007874,0.00032817949988412433,0.01045283103898923
2020-06-02,589,0,0,0
2020-06-03,396,0,0,0
2020-06-04,447,0,0,0
2020-06-05,398,0.002512562814070352,0.0004224215813294691,0.013425430313789457
2020-06-06,223,0,0,0
2020-06-07,355,0,0,0
2020-06-08,622,0,0,0
2020-06-09,531,0,0,0
2020-06-10,580,0,0,0
2020-06-11,751,0,0,0
2020-06-12,682,0,0,0
2020-06-13,643,0,0,0
2020-06-14,564,0.0017730496453900709,0.00031029588817714694,0.009887287527552437
2020-06-15,844,0,0,0
2020-06-16,759,0,0,0
2020-06-17,656,0,0,0
2020-06-18,715,0,0,0
2020-06-19,733,0,0,0
2020-06-20,416,0.002403846153846154,0.00041546202496947426,0.0132063507842356
2020-06-21,467,0,0,0
2020-06-22,561,0,0,0
2020-06-23,619,0,0,0
2020-06-24,700,0,0,0
2020-06-25,572,0.0034965034965034965,0.0009527056381496142,0.012570987729142417
2020-06-26,468,0,0,0
2020-06-27,377,0,0,0
2020-06-28,276,0,0,0
2020-06-29,596,0.0016778523489932886,0.00029426063054771844,0.009379799586568824
2020-06-30,581,0,0,0
2020-07-01,625,0,0,0
2020-07-02,748,0.008021390374331552,0.003632629474677176,0.017161194333316507
2020-07-03,520,0.0057692307692307696,0.0019526469879208599,0.016727730567685985
2020-07-04,325,0,0,0
2020-07-05,294,0,0,0
2020-07-06,663,0,0,0
2020-07-07,727,0.001375515818431912,0.00023825837585531693,0.0076044829533078225
2020-07-08,824,0,0,0
2020-07-09,743,0,0,0
2020-07-10,566,0,0,0
2020-07-11,380,0,0,0
2020-07-12,317,0.0031545741324921135,0.0005193653137751012,0.01646985297743806
2020-07-13,712,0.0014044943820224719,0.00024020366930016933,0.007666227154302616
2020-07-14,727,0,0,0
2020-07-15,926,0.0064794816414686825,0.002919196353783603,0.013811796454305946
2020-07-16,707,0,0,0
2020-07-17,702,0.0014245014245014246,0.0002493655781112763,0.00795695447960943
2020-07-18,581,0,0,0
2020-07-19,439,0,0,0
2020-07-20,682,0,0,0
2020-07-21,780,0,0,0
2020-07-22,645,0,0,0
2020-07-23,824,0,0,0
2020-07-24,665,0,0,0
2020-07-25,470,0,0,0
2020-07-26,324,0,0,0
2020-07-27,828,0,0,0
2020-07-28,682,0,0,0
2020-07-29,674,0,0,0
2020-07-30,620,0,0,0
2020-07-31,576,0,0,0
2020-08-01,534,0,0,0
2020-08-02,443,0,0,0
2020-08-03,912,0,0,0
2020-08-04,755,0,0,0
2020-08-05,591,0,0,0
2020-08-06,702,0,0,0
2020-08-07,567,0,0,0
2020-08-08,403,0,0,0
2020-08-09,449,0,0,0
2020-08-10,803,0.007471980074719801,0.0033824038154751756,0.015987606220698086
2020-08-11,761,0,0,0
2020-08-12,688,0.0014534883720930232,0.000254030799866413,0.008104944968032924
2020-08-13,782,0.0025575447570332483,0.000690158927920448,0.009126054949774453
2020-08-14,708,0.0014124293785310734,0.0002455498716248756,0.007835888717410398
2020-08-15,411,0,0,0
2020-08-16,367,0,0,0
2020-08-17,865,0,0,0
2020-08-18,783,0,0,0
2020-08-19,771,0,0,0
2020-08-20,944,0.001059322033898305,0.0001852496381957689,0.005919836093862703
2020-08-21,770,0.0012987012987012987,0.00022751047441177315,0.007263241493680207
2020-08-22,362,0,0,0
2020-08-23,356,0.0028089887640449437,0.000487790891655586,0.01547977539932936
2020-08-24,675,0,0,0
2020-08-25,729,0.0013717421124828531,0.00023825837585531693,0.0076044829533078225
2020-08-26,988,0,0,0
2020-08-27,915,0,0,0
2020-08-28,746,0.0013404825737265416,0.00023138742766106658,0.007386352663643317
2020-08-29,534,0.0018726591760299626,0.0003239633941034252,0.01031954467817098
2020-08-30,648,0,0,0
2020-08-31,1040,0,0,0
2020-09-01,944,0,0,0
2020-09-02,768,0,0,0
2020-09-03,946,0,0,0
2020-09-04,810,0.0024691358024691358,0.0006642472716852188,0.008785266948860003
2020-09-05,433,0,0,0
2020-09-06,319,0,0,0
2020-09-07,890,0.0011235955056179776,0.0001961602817749062,0.006266919089654778
2020-09-08,830,0,0,0
2020-09-09,1381,0,0,0
2020-09-10,1665,0,0,0
2020-09-11,892,0,0,0
2020-09-12,386,0,0,0
2020-09-13,364,0,0,0
2020-09-14,839,0.0011918951132300357,0.00020672782155959282,0.006602920952759582
2020-09-15,835,0,0,0
2020-09-16,2004,0,0,0
2020-09-17,977,0,0,0
2020-09-18,1261,0,0,0
2020-09-19,799,0,0,0
2020-09-20,688,0,0,0
2020-09-21,1473,0,0,0
2020-09-22,1044,0,0,0
2020-09-23,1343,0,0,0
2020-09-24,2621,0,0,0
2020-09-25,1140,0.010526315789473684,0.005937662799897047,0.0180256726496169
2020-09-26,494,0,0,0
2020-09-27,1076,0,0,0
2020-09-28,809,0,0,0
2020-09-29,1238,0,0,0
2020-09-30,1128,0,0,0
2020-10-01,2127,0,0,0
2020-10-02,1441,0,0,0
2020-10-03,1246,0,0,0
2020-10-04,685,0,0,0
2020-10-05,2253,0,0,0
2020-10-06,1988,0,0,0
2020-10-07,2002,0,0,0
2020-10-08,1846,0,0,0
2020-10-09,1560,0,0,0
2020-10-10,823,0,0,0
2020-10-11,1003,0,0,0
2020-10-12,2109,0.000474158368895211,8.12005737431738e-05,0.00260108816571336
2020-10-13,1572,0,0,0
2020-10-14,1936,0,0,0
2020-10-15,2522,0,0,0
2020-10-16,1503,0,0,0
2020-10-17,1240,0,0,0
2020-10-18,758,0,0,0
2020-10-19,1915,0.0010443864229765013,0.0002803005803308882,0.0037187985819879857
2020-10-20,2132,0,0,0
2020-10-21,2484,0.00040257648953301127,6.988465917178104e-05,0.002239192715474916
2020-10-22,1991,0,0,0
2020-10-23,1483,0,0,0
2020-10-24,1541,0,0,0
2020-10-25,822,0,0,0
2020-10-26,2666,0.0007501875468867217,0.0002029315794498636,0.002694024045881149
2020-10-27,1753,0,0,0
2020-10-28,1365,0,0,0
2020-10-29,2099,0,0,0
2020-10-30,2190,0,0,0
2020-10-31,1015,0,0,0
2020-11-01,2503,0,0,0
2020-11-02,3681,0,0,0
2020-11-03,2197,0.0004551661356395084,7.87727565027945e-05,0.002523459846456808
2020-11-04,3263,0.001225865767698437,0.0004673525633129145,0.003085651575857696
2020-11-05,2962,0.00033760972316002703,5.8881684292348196e-05,0.0018871237278519832
2020-11-06,2298,0.0008703220191470844,0.00023522047542279492,0.003121856477055489
2020-11-07,1751,0.0005711022272986865,9.906411597689558e-05,0.0031719986703306917
